iter	Passed	Remaining
0	152	152362
1	159	79386
2	161	53663
3	163	40694
4	165	32857
5	166	27574
6	167	23799
7	177	22020
8	179	19744
9	181	17920
10	190	17132
11	194	16017
12	195	14879
13	197	13901
14	198	13050
15	207	12736
16	208	12068
17	210	11464
18	211	10935
19	213	10445
20	221	10335
21	223	9930
22	224	9555
23	233	9515
24	238	9306
25	242	9076
26	243	8783
27	245	8510
28	253	8499
29	256	8282
30	258	8084
31	260	7871
32	268	7874
33	270	7696
34	272	7506
35	273	7331
36	275	7170
37	276	7010
38	285	7030
39	287	6892
40	289	6762
41	290	6630
42	298	6653
43	322	7004
44	324	6885
45	333	6922
46	335	6808
47	337	6696
48	339	6587
49	346	6583
50	348	6487
51	350	6392
52	356	6374
53	358	6280
54	360	6187
55	362	6106
56	363	6021
57	365	5938
58	376	6004
59	378	5923
60	379	5844
61	381	5767
62	387	5759
63	406	5939
64	408	5870
65	410	5805
66	412	5742
67	413	5672
68	417	5634
69	419	5570
70	434	5688
71	436	5624
72	438	5566
73	441	5524
74	447	5520
75	449	5466
76	451	5410
77	466	5516
78	468	5461
79	470	5408
80	472	5358
81	475	5325
82	476	5264
83	478	5213
84	479	5165
85	482	5128
86	487	5116
87	491	5089
88	493	5046
89	495	5005
90	496	4961
91	498	4920
92	501	4890
93	514	4960
94	516	4923
95	518	4883
96	525	4887
97	527	4852
98	531	4834
99	533	4803
100	540	4812
101	543	4780
102	545	4746
103	546	4711
104	548	4676
105	550	4641
106	551	4606
107	553	4575
108	557	4559
109	559	4530
110	561	4498
111	563	4468
112	565	4438
113	569	4423
114	571	4395
115	574	4380
116	576	4348
117	581	4345
118	583	4321
119	588	4317
120	597	4340
121	598	4308
122	600	4281
123	602	4256
124	604	4230
125	612	4251
126	614	4223
127	624	4251
128	626	4229
129	628	4205
130	631	4187
131	633	4164
132	634	4137
133	638	4126
134	651	4171
135	653	4148
136	654	4124
137	662	4140
138	665	4122
139	667	4103
140	670	4081
141	671	4054
